,County,Technology,Year,Vehicle Count,Make,Model
0,Anderson,All,2019,4,BMW,330E
1,Anderson,All,2019,4,BMW,I3
2,Anderson,All,2019,4,BMW,X5
3,Anderson,All,2019,4,CADILLAC,CT6
4,Anderson,All,2019,9,CHEVROLET,BOLT EV
5,Anderson,All,2019,54,CHEVROLET,VOLT
6,Anderson,All,2019,4,CHRYSLER,PACIFICA
7,Anderson,All,2019,8,FIAT,500
8,Anderson,All,2019,8,FORD,C-MAX
9,Anderson,All,2019,32,FORD,FUSION
10,Anderson,All,2019,4,HONDA,CLARITY
11,Anderson,All,2019,4,MITSUBISHI,I-MIEV
12,Anderson,All,2019,38,NISSAN,LEAF
13,Anderson,All,2019,10,TESLA,MODEL 3
14,Anderson,All,2019,21,TESLA,MODEL S
15,Anderson,All,2019,4,TESLA,MODEL X
16,Anderson,All,2019,4,TOYOTA,PRIUS PLUG-IN
17,Anderson,All,2019,11,TOYOTA,PRIUS PRIME
18,Anderson,BEV,2019,9,CHEVROLET,BOLT EV
19,Anderson,BEV,2019,8,FIAT,500
20,Anderson,BEV,2019,4,MITSUBISHI,I-MIEV
21,Anderson,BEV,2019,38,NISSAN,LEAF
22,Anderson,BEV,2019,10,TESLA,MODEL 3
23,Anderson,BEV,2019,21,TESLA,MODEL S
24,Anderson,BEV,2019,4,TESLA,MODEL X
25,Anderson,PHEV,2019,4,BMW,330E
26,Anderson,PHEV,2019,4,BMW,I3
27,Anderson,PHEV,2019,4,BMW,X5
28,Anderson,PHEV,2019,4,CADILLAC,CT6
29,Anderson,PHEV,2019,54,CHEVROLET,VOLT
30,Anderson,PHEV,2019,4,CHRYSLER,PACIFICA
31,Anderson,PHEV,2019,8,FORD,C-MAX
32,Anderson,PHEV,2019,32,FORD,FUSION
33,Anderson,PHEV,2019,4,HONDA,CLARITY
34,Anderson,PHEV,2019,4,TOYOTA,PRIUS PLUG-IN
35,Anderson,PHEV,2019,11,TOYOTA,PRIUS PRIME
36,Anderson,All,2020,3,BMW,330E
37,Anderson,All,2020,6,BMW,I3
38,Anderson,All,2020,4,BMW,X5
39,Anderson,All,2020,3,CADILLAC,CT6
40,Anderson,All,2020,12,CHEVROLET,BOLT EV
41,Anderson,All,2020,43,CHEVROLET,VOLT
42,Anderson,All,2020,10,CHRYSLER,PACIFICA
43,Anderson,All,2020,11,FIAT,500
44,Anderson,All,2020,14,FORD,C-MAX
45,Anderson,All,2020,23,FORD,FUSION
46,Anderson,All,2020,3,HONDA,CLARITY
47,Anderson,All,2020,2,KIA,OPTIMA
48,Anderson,All,2020,3,MITSUBISHI,I-MIEV
49,Anderson,All,2020,1,MITSUBISHI,OUTLANDER
50,Anderson,All,2020,39,NISSAN,LEAF
51,Anderson,All,2020,3,SMART,FORTWO
52,Anderson,All,2020,18,TESLA,MODEL 3
53,Anderson,All,2020,30,TESLA,MODEL S
54,Anderson,All,2020,7,TESLA,MODEL X
55,Anderson,All,2020,3,TOYOTA,PRIUS PLUG-IN
56,Anderson,All,2020,16,TOYOTA,PRIUS PRIME
57,Anderson,All,2020,3,VOLVO,XC60
58,Anderson,BEV,2020,2,BMW,I3
59,Anderson,BEV,2020,12,CHEVROLET,BOLT EV
60,Anderson,BEV,2020,11,FIAT,500
61,Anderson,BEV,2020,3,MITSUBISHI,I-MIEV
62,Anderson,BEV,2020,39,NISSAN,LEAF
63,Anderson,BEV,2020,3,SMART,FORTWO
64,Anderson,BEV,2020,18,TESLA,MODEL 3
65,Anderson,BEV,2020,30,TESLA,MODEL S
66,Anderson,BEV,2020,7,TESLA,MODEL X
67,Anderson,PHEV,2020,3,BMW,330E
68,Anderson,PHEV,2020,4,BMW,I3
69,Anderson,PHEV,2020,4,BMW,X5
70,Anderson,PHEV,2020,3,CADILLAC,CT6
71,Anderson,PHEV,2020,43,CHEVROLET,VOLT
72,Anderson,PHEV,2020,10,CHRYSLER,PACIFICA
73,Anderson,PHEV,2020,14,FORD,C-MAX
74,Anderson,PHEV,2020,23,FORD,FUSION
75,Anderson,PHEV,2020,3,HONDA,CLARITY
76,Anderson,PHEV,2020,2,KIA,OPTIMA
77,Anderson,PHEV,2020,1,MITSUBISHI,OUTLANDER
78,Anderson,PHEV,2020,3,TOYOTA,PRIUS PLUG-IN
79,Anderson,PHEV,2020,16,TOYOTA,PRIUS PRIME
80,Anderson,PHEV,2020,3,VOLVO,XC60
81,Anderson,All,2021,8,BMW,I3
82,Anderson,All,2021,2,BMW,X5
83,Anderson,All,2021,4,CADILLAC,CT6
84,Anderson,All,2021,2,CADILLAC,ELR
85,Anderson,All,2021,18,CHEVROLET,BOLT EV
86,Anderson,All,2021,50,CHEVROLET,VOLT
87,Anderson,All,2021,22,CHRYSLER,PACIFICA
88,Anderson,All,2021,6,FIAT,500
89,Anderson,All,2021,17,FORD,C-MAX
90,Anderson,All,2021,22,FORD,FUSION
91,Anderson,All,2021,2,FORD,MUSTANG MACH-E
92,Anderson,All,2021,5,HONDA,CLARITY
93,Anderson,All,2021,1,HYUNDAI,IONIQ
94,Anderson,All,2021,6,JEEP,WRANGLER
95,Anderson,All,2021,3,KIA,NIRO
96,Anderson,All,2021,3,KIA,OPTIMA
97,Anderson,All,2021,1,KIA,SORENTO
98,Anderson,All,2021,3,MITSUBISHI,OUTLANDER
99,Anderson,All,2021,45,NISSAN,LEAF
100,Anderson,All,2021,4,PORSCHE,CAYENNE
101,Anderson,All,2021,4,SMART,FORTWO
102,Anderson,All,2021,26,TESLA,MODEL 3
103,Anderson,All,2021,34,TESLA,MODEL S
104,Anderson,All,2021,5,TESLA,MODEL X
105,Anderson,All,2021,8,TESLA,MODEL Y
106,Anderson,All,2021,7,TOYOTA,PRIUS PLUG-IN
107,Anderson,All,2021,19,TOYOTA,PRIUS PRIME
108,Anderson,All,2021,6,TOYOTA,RAV4 PRIME
109,Anderson,All,2021,2,VOLKSWAGEN,ID.4
110,Anderson,All,2021,4,VOLVO,XC60
111,Anderson,BEV,2021,4,BMW,I3
112,Anderson,BEV,2021,18,CHEVROLET,BOLT EV
113,Anderson,BEV,2021,6,FIAT,500
114,Anderson,BEV,2021,2,FORD,MUSTANG MACH-E
115,Anderson,BEV,2021,45,NISSAN,LEAF
116,Anderson,BEV,2021,4,SMART,FORTWO
117,Anderson,BEV,2021,26,TESLA,MODEL 3
118,Anderson,BEV,2021,34,TESLA,MODEL S
119,Anderson,BEV,2021,5,TESLA,MODEL X
120,Anderson,BEV,2021,8,TESLA,MODEL Y
121,Anderson,BEV,2021,2,VOLKSWAGEN,ID.4
122,Anderson,PHEV,2021,4,BMW,I3
123,Anderson,PHEV,2021,2,BMW,X5
124,Anderson,PHEV,2021,4,CADILLAC,CT6
125,Anderson,PHEV,2021,2,CADILLAC,ELR
126,Anderson,PHEV,2021,50,CHEVROLET,VOLT
127,Anderson,PHEV,2021,22,CHRYSLER,PACIFICA
128,Anderson,PHEV,2021,17,FORD,C-MAX
129,Anderson,PHEV,2021,22,FORD,FUSION
130,Anderson,PHEV,2021,5,HONDA,CLARITY
131,Anderson,PHEV,2021,1,HYUNDAI,IONIQ
132,Anderson,PHEV,2021,6,JEEP,WRANGLER
133,Anderson,PHEV,2021,3,KIA,NIRO
134,Anderson,PHEV,2021,3,KIA,OPTIMA
135,Anderson,PHEV,2021,1,KIA,SORENTO
136,Anderson,PHEV,2021,3,MITSUBISHI,OUTLANDER
137,Anderson,PHEV,2021,4,PORSCHE,CAYENNE
138,Anderson,PHEV,2021,7,TOYOTA,PRIUS PLUG-IN
139,Anderson,PHEV,2021,19,TOYOTA,PRIUS PRIME
140,Anderson,PHEV,2021,6,TOYOTA,RAV4 PRIME
141,Anderson,PHEV,2021,4,VOLVO,XC60
142,Anderson,All,2022,2,AUDI,E-TRON
143,Anderson,All,2022,6,BMW,330E
144,Anderson,All,2022,3,BMW,530E
145,Anderson,All,2022,10,BMW,I3
146,Anderson,All,2022,1,CADILLAC,CT6
147,Anderson,All,2022,4,CHEVROLET,BOLT EUV
148,Anderson,All,2022,31,CHEVROLET,BOLT EV
149,Anderson,All,2022,61,CHEVROLET,VOLT
150,Anderson,All,2022,27,CHRYSLER,PACIFICA
151,Anderson,All,2022,4,FIAT,500
152,Anderson,All,2022,19,FORD,C-MAX
153,Anderson,All,2022,1,FORD,F-150
154,Anderson,All,2022,2,FORD,FOCUS
155,Anderson,All,2022,26,FORD,FUSION
156,Anderson,All,2022,5,FORD,MUSTANG MACH-E
157,Anderson,All,2022,8,HONDA,CLARITY
158,Anderson,All,2022,8,HYUNDAI,IONIQ
159,Anderson,All,2022,3,HYUNDAI,IONIQ 5
160,Anderson,All,2022,4,HYUNDAI,KONA ELECTRIC
161,Anderson,All,2022,2,HYUNDAI,SONATA
162,Anderson,All,2022,11,JEEP,WRANGLER
163,Anderson,All,2022,4,KIA,EV6
164,Anderson,All,2022,4,KIA,NIRO
165,Anderson,All,2022,7,KIA,SORENTO
166,Anderson,All,2022,3,MITSUBISHI,OUTLANDER
167,Anderson,All,2022,58,NISSAN,LEAF
168,Anderson,All,2022,7,POLESTAR,PS2
169,Anderson,All,2022,4,PORSCHE,CAYENNE
170,Anderson,All,2022,4,SMART,FORTWO
171,Anderson,All,2022,2,SUBARU,CROSSTREK
172,Anderson,All,2022,34,TESLA,MODEL 3
173,Anderson,All,2022,45,TESLA,MODEL S
174,Anderson,All,2022,7,TESLA,MODEL X
175,Anderson,All,2022,23,TESLA,MODEL Y
176,Anderson,All,2022,6,TOYOTA,PRIUS PLUG-IN
177,Anderson,All,2022,23,TOYOTA,PRIUS PRIME
178,Anderson,All,2022,14,TOYOTA,RAV4 PRIME
179,Anderson,All,2022,3,VOLKSWAGEN,ID.4
180,Anderson,All,2022,1,VOLVO,XC40
181,Anderson,All,2022,1,VOLVO,XC90
182,Anderson,BEV,2022,2,AUDI,E-TRON
183,Anderson,BEV,2022,8,BMW,I3
184,Anderson,BEV,2022,4,CHEVROLET,BOLT EUV
185,Anderson,BEV,2022,31,CHEVROLET,BOLT EV
186,Anderson,BEV,2022,4,FIAT,500
187,Anderson,BEV,2022,1,FORD,F-150
188,Anderson,BEV,2022,2,FORD,FOCUS
189,Anderson,BEV,2022,5,FORD,MUSTANG MACH-E
190,Anderson,BEV,2022,3,HYUNDAI,IONIQ 5
191,Anderson,BEV,2022,4,HYUNDAI,KONA ELECTRIC
192,Anderson,BEV,2022,4,KIA,EV6
193,Anderson,BEV,2022,58,NISSAN,LEAF
194,Anderson,BEV,2022,7,POLESTAR,PS2
195,Anderson,BEV,2022,4,SMART,FORTWO
196,Anderson,BEV,2022,34,TESLA,MODEL 3
197,Anderson,BEV,2022,45,TESLA,MODEL S
198,Anderson,BEV,2022,7,TESLA,MODEL X
199,Anderson,BEV,2022,23,TESLA,MODEL Y
200,Anderson,BEV,2022,3,VOLKSWAGEN,ID.4
201,Anderson,BEV,2022,1,VOLVO,XC40
202,Anderson,PHEV,2022,6,BMW,330E
203,Anderson,PHEV,2022,3,BMW,530E
204,Anderson,PHEV,2022,2,BMW,I3
205,Anderson,PHEV,2022,1,CADILLAC,CT6
206,Anderson,PHEV,2022,61,CHEVROLET,VOLT
207,Anderson,PHEV,2022,27,CHRYSLER,PACIFICA
208,Anderson,PHEV,2022,19,FORD,C-MAX
209,Anderson,PHEV,2022,26,FORD,FUSION
210,Anderson,PHEV,2022,8,HONDA,CLARITY
211,Anderson,PHEV,2022,8,HYUNDAI,IONIQ
212,Anderson,PHEV,2022,2,HYUNDAI,SONATA
213,Anderson,PHEV,2022,11,JEEP,WRANGLER
214,Anderson,PHEV,2022,4,KIA,NIRO
215,Anderson,PHEV,2022,7,KIA,SORENTO
216,Anderson,PHEV,2022,3,MITSUBISHI,OUTLANDER
217,Anderson,PHEV,2022,4,PORSCHE,CAYENNE
218,Anderson,PHEV,2022,2,SUBARU,CROSSTREK
219,Anderson,PHEV,2022,6,TOYOTA,PRIUS PLUG-IN
220,Anderson,PHEV,2022,23,TOYOTA,PRIUS PRIME
221,Anderson,PHEV,2022,14,TOYOTA,RAV4 PRIME
222,Anderson,PHEV,2022,1,VOLVO,XC90
223,Anderson,All,2023,5,AUDI,E-TRON
224,Anderson,All,2023,8,BMW,330E
225,Anderson,All,2023,1,BMW,530E
226,Anderson,All,2023,8,BMW,I3
227,Anderson,All,2023,2,BMW,X3
228,Anderson,All,2023,9,BMW,X5
229,Anderson,All,2023,14,CHEVROLET,BOLT EUV
230,Anderson,All,2023,32,CHEVROLET,BOLT EV
231,Anderson,All,2023,60,CHEVROLET,VOLT
